X,Y,ObjectID,Loc_name,Status,Score,Match_type,Match_addr,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,Side,StPreDir,StPreType,StName,StType,StDir,StAddr,Nbrhd,City,Subregion,Region,Postal,PostalExt,Country,LangCode,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ARC_Addres,ARC_Neighb,ARC_City,ARC_Subreg,ARC_Region,ARC_Postal,ARC_Post_1,ARC_Countr,PCT,AREA,LOCATION,ADDRESS,city_1,state
-85.811915191999674,38.154282156000477,11,USA.StreetAddress,M,100.00000000000,A,"7601 Saint Andrews Church Rd, Louisville, Kentucky, 40214",StreetAddress,,,,,,,,7601,7601,7601,L,,,Saint Andrews Church,Rd,,,,Louisville,,Kentucky,40214,,USA,ENG,0.00000000000,-85.81191600000,38.15428200000,-85.81191600000,38.15428200000,-85.81291600000,-85.81091600000,38.15328200000,38.15528200000,7601 St Andrews Church Road,,Louisville,,Kentucky,,,,A123,2.00000000000,Doss High Sch 1st Floor Gym,7601 St Andrews Church Road,Louisville,Kentucky
-85.838402075999682,38.145888357000445,12,USA.StreetAddress,M,100.00000000000,A,"7219 Dixie Hwy, Louisville, Kentucky, 40258",StreetAddress,,,,,,,,7219,7239,7219,R,,,Dixie,Hwy,,,,Louisville,,Kentucky,40258,,USA,ENG,0.00000000000,-85.83840300000,38.14588800000,-85.83840300000,38.14588800000,-85.83940300000,-85.83740300000,38.14488800000,38.14688800000,7219 Dixie Highway,,Louisville,,Kentucky,,,,A124,14.00000000000,Southwest Govt Ctr,7219 Dixie Highway,Louisville,Kentucky
-85.814866332999657,38.116517555000485,13,USA.StreetAddress,M,100.00000000000,A,"8911 3rd St Rd, Louisville, Kentucky, 40272",StreetAddress,,,,,,,,8911,8903,8955,L,,,3rd,St Rd,,,,Louisville,,Kentucky,40272,,USA,ENG,0.00000000000,-85.81486700000,38.11651800000,-85.81486700000,38.11651800000,-85.81586700000,-85.81386700000,38.11551800000,38.11751800000,8911 3rd Street Road,,Louisville,,Kentucky,,,,A125,1.00000000000,Valley View Bapt Ch,8911 3rd Street Road,Louisville,Kentucky
-85.844196260999638,38.118192811000483,14,USA.StreetName,M,100.00000000000,A,"Valley College Dr, Louisville, Kentucky, 40272",StreetName,,,,,,,,,,,,,,Valley College,Dr,,,,Louisville,,Kentucky,40272,,USA,ENG,0.00000000000,-85.84419700000,38.11819300000,-85.84419700000,38.11819300000,-85.84919700000,-85.83919700000,38.11319300000,38.12319300000,1000 Valley College Drive,,Louisville,,Kentucky,,,,A126,1.00000000000,JCTC--Southwest Campus,1000 Valley College Drive,Louisville,Kentucky
-85.866810338999642,38.107602665000456,15,USA.StreetAddress,M,100.00000000000,A,"10200 Dixie Hwy, Louisville, Kentucky, 40272",StreetAddress,,,,,,,,10200,10236,10200,L,,,Dixie,Hwy,,,,Louisville,,Kentucky,40272,,USA,ENG,0.00000000000,-85.86681100000,38.10760300000,-85.86681100000,38.10760300000,-85.86781100000,-85.86581100000,38.10660300000,38.10860300000,10200 Dixie Highway,,Louisville,,Kentucky,,,,A127,1.00000000000,Valley High Sch Cafeteria,10200 Dixie Highway,Louisville,Kentucky
-85.841487984999674,38.10733503600045,16,USA.StreetAddress,M,100.00000000000,A,"4601 Valley Station Rd, Louisville, Kentucky, 40272",StreetAddress,,,,,,,,4601,4601,4601,L,,,Valley Station,Rd,,,,Louisville,,Kentucky,40272,,USA,ENG,0.00000000000,-85.84148900000,38.10733500000,-85.84148900000,38.10733500000,-85.84248900000,-85.84048900000,38.10633500000,38.10833500000,4601 Valley Station Road,,Louisville,,Kentucky,,,,A128,1.00000000000,Stuart Mid Sch Cafeteria,4601 Valley Station Road,Louisville,Kentucky
-85.864700995999669,38.106967738000492,17,USA.StreetAddress,M,100.00000000000,A,"5415 Valley Station Rd, Louisville, Kentucky, 40272",StreetAddress,,,,,,,,5415,5321,5425,R,,,Valley Station,Rd,,,,Louisville,,Kentucky,40272,,USA,ENG,0.00000000000,-85.86470200000,38.10696800000,-85.86470200000,38.10696800000,-85.86570200000,-85.86370200000,38.10596800000,38.10796800000,5415 Valley Station Road,,Louisville,,Kentucky,,,,A129,1.00000000000,Highview Bapt Ch--Valley Campus,5415 Valley Station Road,Louisville,Kentucky
-85.897805434999668,38.059934559000453,18,USA.StreetAddress,M,100.00000000000,A,"7201 Watson Ln, Louisville, Kentucky, 40272",StreetAddress,,,,,,,,7201,7201,7299,R,,,Watson,Ln,,,,Louisville,,Kentucky,40272,,USA,ENG,0.00000000000,-85.89780600000,38.05993500000,-85.89780600000,38.05993500000,-85.89880600000,-85.89680600000,38.05893500000,38.06093500000,7201 Watson Lane,,Louisville,,Kentucky,,,,A130,1.00000000000,Watson Lane Elem Sch Cafeteria,7201 Watson Lane,Louisville,Kentucky
-85.811915191999674,38.154282156000477,19,USA.StreetAddress,M,100.00000000000,A,"7601 Saint Andrews Church Rd, Louisville, Kentucky, 40214",StreetAddress,,,,,,,,7601,7601,7601,L,,,Saint Andrews Church,Rd,,,,Louisville,,Kentucky,40214,,USA,ENG,0.00000000000,-85.81191600000,38.15428200000,-85.81191600000,38.15428200000,-85.81291600000,-85.81091600000,38.15328200000,38.15528200000,7601 St Andrews Church Road,,Louisville,,Kentucky,,,,A131,2.00000000000,Doss High Sch 1st Floor Gym,7601 St Andrews Church Road,Louisville,Kentucky
-85.897805434999668,38.059934559000453,20,USA.StreetAddress,M,100.00000000000,A,"7201 Watson Ln, Louisville, Kentucky, 40272",StreetAddress,,,,,,,,7201,7201,7299,R,,,Watson,Ln,,,,Louisville,,Kentucky,40272,,USA,ENG,0.00000000000,-85.89780600000,38.05993500000,-85.89780600000,38.05993500000,-85.89880600000,-85.89680600000,38.05893500000,38.06093500000,7201 Watson Lane,,Louisville,,Kentucky,,,,A134,1.00000000000,Watson Lane Elem Sch Cafeteria,7201 Watson Lane,Louisville,Kentucky
-85.841487984999674,38.10733503600045,21,USA.StreetAddress,M,100.00000000000,A,"4601 Valley Station Rd, Louisville, Kentucky, 40272",StreetAddress,,,,,,,,4601,4601,4601,L,,,Valley Station,Rd,,,,Louisville,,Kentucky,40272,,USA,ENG,0.00000000000,-85.84148900000,38.10733500000,-85.84148900000,38.10733500000,-85.84248900000,-85.84048900000,38.10633500000,38.10833500000,4601 Valley Station Road,,Louisville,,Kentucky,,,,A135,1.00000000000,Stuart Mid Sch Cafeteria,4601 Valley Station Road,Louisville,Kentucky
